date,ISR,q50,q_up,q_down
2020-05-10,4.2447031942575,10.679986161143725,22.24411660915891,4.199811977648385
2020-05-11,4.10268710225632,11.039136138244134,28.60069322557486,3.7342629756116037
2020-05-12,3.787095786698141,10.592346693047453,26.40367445684105,3.76906203122291
2020-05-13,3.755536655142324,9.270263307607827,25.387098092855098,3.755536655142324
2020-05-14,3.124354024025967,8.683070317218315,22.31313200572702,3.3630823310482842
2020-05-15,2.4142735640200654,7.982065280533001,18.643602411788326,3.1367808995137465
2020-05-16,2.430053129797974,7.609167935888078,19.53094597010021,3.6863629573734635
2020-05-17,2.2091392089072492,7.715710034358057,19.263363458456155,3.5970358845125134
2020-05-18,2.1618005115735226,6.830723248680017,18.530590126779323,3.3390968816788615
2020-05-19,2.05134355112816,7.916765284696562,17.94119264719759,2.938405255877398
2020-05-20,1.877768327571162,7.5180916259056785,18.373429594009366,2.8315541556636745
2020-05-21,1.641074840902528,7.806786344340456,16.30523963671926,3.018543581037691
2020-05-22,1.5937361435688013,7.693370562098222,15.900499645736867,3.018543581037691
2020-05-23,1.641074840902528,7.275794272933634,15.437939656042705,2.548987881878369
2020-05-24,1.5779565777908924,6.426738402277754,15.397338718999137,2.482347675816189
2020-05-25,1.435940485789712,6.424960764654179,14.397179679230836,2.482347675816189
2020-05-26,1.5463974462350745,5.880436467165539,13.992439688248442,2.3823873667229196
2020-05-27,1.9882252880165245,5.242902297288737,14.108079685671983,1.9882252880165245
2020-05-28,2.9823379320247865,6.469611278323247,14.775254675365941,2.558866991014999
2020-05-29,4.68653103603895,6.184948382077025,13.047781996494036,2.3834018259168275
2020-05-30,4.733869733372677,6.6766388392295895,12.905309122107102,1.9992061818653875
2020-05-31,5.585966285379759,7.245964631722036,13.420839793541555,1.9739831073544276
2020-06-01,6.864111113390383,7.200026633701681,13.380364244957859,1.9886052044459421
2020-06-02,8.331610730735912,7.01285911015366,12.217224796184258,1.882585821256573
2020-06-03,9.215266414298812,6.389757101379872,12.56020181313032,1.949226027318753
2020-06-04,9.830669479637258,5.404166091304222,11.01184855898335,1.949226027318753
2020-06-05,9.07325032229763,5.492061816924812,10.523908397960724,1.7992855636788485
2020-06-06,11.676878675652603,5.062999972431882,11.021492719377306,1.7985179422562567
2020-06-07,12.497416096103867,4.820053801708315,10.599182487965626,1.715985306101124
2020-06-08,13.617765266335402,4.930324259537083,11.268035148654805,1.7463347699225271
2020-06-09,14.122711371228487,5.181557836836439,11.907623120364761,1.6130267722185172
2020-06-10,15.432415330794926,5.16816879849836,11.87000029849947,1.7463347699225271
2020-06-11,16.947253645474184,5.044046299161197,11.86247573412641,1.8129887687745319
2020-06-12,19.4562046041617,5.47611668027417,11.915147684737818,1.8796427676265368
2020-06-13,19.251070249048887,4.522874437467491,12.772100513366011,1.759665569692928
2020-06-14,18.809242407267433,4.717095435241871,12.26034027635719,1.6530191715297202
2020-06-15,19.014376762380255,4.76684882757742,11.34062473175755,1.1331179804840823
2020-06-16,20.750128997950235,4.593896558982415,10.816158842688335,1.1997719793360873
2020-06-17,22.533219930853942,4.525494958270586,10.75636477128684,1.7996579690041308
2020-06-18,23.14862299619239,5.371783868018548,10.587062072893028,1.423314481231114
2020-06-19,24.36364956109138,5.280707558036148,10.333498205646373,1.552706706797579
2020-06-20,26.209858757106723,5.84778646924732,10.333498205646373,1.423314481231114
2020-06-21,27.188191835337076,4.861297007299631,10.162476720080326,1.045593633171249
2020-06-22,29.11329886024196,5.597823615936557,10.090267648396882,1.045593633171249
2020-06-23,31.8273841740423,5.233662422180179,10.185279584822466,1.1127731398715983
